id,ts,severity,category,title,detail,alerted,resolved
1,1786541405.976296,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
2,1786541406.0160558,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
3,1786542303.4755933,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
4,1786542303.4971437,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
5,1786543202.913622,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
6,1786543202.9203885,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
7,1786544102.5162332,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
8,1786544102.5255058,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
9,1786545002.0870848,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
10,1786545002.0882819,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
11,1786545902.336283,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
12,1786545902.3384457,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
13,1786546802.3282254,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
14,1786546802.3355293,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
15,1786547701.684708,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
16,1786547701.714765,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
17,1786548601.9577367,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
18,1786548601.968176,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
19,1786549501.9939802,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
20,1786549502.0043948,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
21,1786550401.906875,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
22,1786550401.9193573,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
23,1786551302.4405386,critical,api_low_balance,ppq balance low: $-0.00,"ppq balance at $-0.00, below $5.00 threshold. Top up to avoid service interruption.",1,0
24,1786551302.4459705,critical,api_low_balance,openrouter balance low: $-0.01,"openrouter balance at $-0.01, below $5.00 threshold. Top up to avoid service interruption.",1,0
