id,ts,key_name,key_suffix,model,prompt_tokens,completion_tokens,total_tokens,tier,cache_hit,ollama_hit,ppq_hit,status_code,error,duration_ms,cost_usd,cost_source,session_id,task_type
1,1786554176.0821204,ollama_cloud,-lfk,glm-5.2,80725,33,80758,ollama_cloud,0,0,0,200,,2048,0.001251749,estimated,,
2,1786554176.978466,ollama_cloud,-lfk,glm-5.2,94300,61,94361,ollama_cloud,0,0,0,200,,2326,0.0014625955,estimated,,
3,1786554180.5814846,ollama_cloud,-lfk,glm-5.2,94508,91,94599,ollama_cloud,0,0,0,200,,2513,0.0014662845,estimated,,
4,1786554181.6201153,ollama_cloud,-lfk,glm-5.2,145706,46,145752,ollama_cloud,0,0,0,200,,2524,0.002259156,estimated,,
5,1786554185.5195007,ollama_cloud,-lfk,glm-5.2,94662,242,94904,ollama_cloud,0,0,0,200,,3548,0.001471012,estimated,,
6,1786554187.7815518,ollama_cloud,-lfk,glm-5.2,75343,1127,76470,ollama_cloud,0,0,0,200,,14543,0.001185285,estimated,,
7,1786554188.3126721,ollama_cloud,-lfk,glm-5.2,145799,289,146088,ollama_cloud,0,0,0,200,,3759,0.002264364,estimated,,
8,1786554189.253743,ollama_cloud,-lfk,glm-5.2,94954,66,95020,ollama_cloud,0,0,0,200,,2155,0.00147281,estimated,,
9,1786554195.6760862,ollama_cloud,-lfk,glm-5.2,95040,98,95138,ollama_cloud,0,0,0,200,,4550,0.001474639,estimated,,
10,1786554195.698098,ollama_cloud,-lfk,glm-5.2,76219,40,76259,ollama_cloud,0,0,0,200,,1942,0.0011820144999999998,estimated,,
11,1786554197.3288212,ollama_cloud,-lfk,glm-5.2,146180,289,146469,ollama_cloud,0,0,0,200,,5721,0.0022702695,estimated,,
12,1786554204.3837767,ollama_cloud,-lfk,glm-5.2,146508,149,146657,ollama_cloud,0,0,0,200,,4184,0.0022731835,estimated,,
13,1786554207.6804256,ollama_cloud,-lfk,glm-5.2,80704,683,81387,ollama_cloud,0,0,0,200,,11058,0.0012614985,estimated,,
14,1786554210.568576,ollama_cloud,-lfk,glm-5.2,81308,2509,83817,ollama_cloud,0,0,0,200,,30751,0.0012991635,estimated,,
15,1786554213.1727145,ollama_cloud,-lfk,glm-5.2,146779,340,147119,ollama_cloud,0,0,0,200,,4524,0.0022803445,estimated,,
16,1786554218.922731,ollama_cloud,-lfk,glm-5.2,81623,31,81654,ollama_cloud,0,0,0,200,,1901,0.001265637,estimated,,
17,1786554219.7565207,ollama_cloud,-lfk,glm-5.2,76463,116,76579,ollama_cloud,0,0,0,200,,3196,0.0011869744999999999,estimated,,
18,1786554220.1060524,ollama_cloud,-lfk,glm-5.2,147611,81,147692,ollama_cloud,0,0,0,200,,2341,0.0022892259999999997,estimated,,
19,1786554223.0176039,ollama_cloud,-lfk,glm-5.2,76599,86,76685,ollama_cloud,0,0,0,200,,2558,0.0011886175,estimated,,
20,1786554223.2463934,ollama_cloud,-lfk,glm-5.2,81674,92,81766,ollama_cloud,0,0,0,200,,2142,0.001267373,estimated,,
21,1786554226.3164253,ollama_cloud,-lfk,glm-5.2,77338,120,77458,ollama_cloud,0,0,0,200,,2537,0.001200599,estimated,,
22,1786554226.446054,ollama_cloud,-lfk,glm-5.2,147753,183,147936,ollama_cloud,0,0,0,200,,4271,0.002293008,estimated,,
23,1786554228.0467987,ollama_cloud,-lfk,glm-5.2,82011,87,82098,ollama_cloud,0,0,0,200,,4185,0.001272519,estimated,,
24,1786554231.2160065,ollama_cloud,-lfk,glm-5.2,77478,275,77753,ollama_cloud,0,0,0,200,,3905,0.0012051715,estimated,,
25,1786554233.8351064,ollama_cloud,-lfk,glm-5.2,96930,409,97339,ollama_cloud,0,0,0,200,,6756,0.0015087545,estimated,,
26,1786554236.1186068,ollama_cloud,-lfk,glm-5.2,148169,282,148451,ollama_cloud,0,0,0,200,,5114,0.0023009905,estimated,,
