id,ts,key,window,used_pct_observed,projected_additional_pct,projected_total_pct,burn_rate_tph,velocity_tph2,uncertainty,exhausts_in_hours,will_exhaust,note
1,1786711597.9209664,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (1 points, need 5)"
2,1786711597.9209664,friend,5-hour,69.0,0.0,69.0,0.0,0.0,0.0,,0,"Insufficient data (1 points, need 5)"
3,1786712498.7156587,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
4,1786712498.7156587,friend,5-hour,2.0,0.0,2.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
5,1786713400.115952,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
6,1786713400.115952,friend,5-hour,8.0,0.0,8.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
7,1786714301.8211343,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
8,1786714301.8211343,friend,5-hour,15.0,0.0,15.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
9,1786715203.3784122,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
10,1786715203.3784122,friend,5-hour,21.0,0.0,21.0,0.0,0.0,0.0,,0,"Insufficient data (2 points, need 5)"
11,1786716105.7419648,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
12,1786716105.7419648,friend,5-hour,29.0,0.0,29.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
13,1786717007.2112367,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
14,1786717007.2112367,friend,5-hour,34.0,0.0,34.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
15,1786717908.6751056,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
16,1786717908.6751056,friend,5-hour,39.0,0.0,39.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
17,1786718809.6305428,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
18,1786718809.6305428,friend,5-hour,43.0,0.0,43.0,0.0,0.0,0.0,,0,"Insufficient data (3 points, need 5)"
19,1786719710.6090372,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
20,1786719710.6090372,friend,5-hour,50.0,0.0,50.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
21,1786720611.4731386,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
22,1786720611.4731386,friend,5-hour,57.0,0.0,57.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
23,1786721513.6170957,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
24,1786721513.6170957,friend,5-hour,60.0,0.0,60.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
25,1786722415.1600823,friend,monthly,1.0,0.0,1.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
26,1786722415.1600823,friend,5-hour,63.0,0.0,63.0,0.0,0.0,0.0,,0,"Insufficient data (4 points, need 5)"
27,1786723316.2662027,friend,monthly,1.0,0.1,1.1,27046071.0,0.0,5393468.0,62145.2,0,under budget by 86.2pp
28,1786723316.2662027,friend,5-hour,67.0,20.9,87.9,27046071.0,0.0,5393468.0,1.6,0,under budget by 2.9pp
29,1786724217.5857396,friend,monthly,1.0,0.1,1.1,29048521.0,0.0,7531428.0,62170.0,0,under budget by 86.2pp
30,1786724217.5857396,friend,5-hour,73.0,21.1,94.1,29048521.0,0.0,7531428.0,1.3,0,under budget by 3.9pp
31,1786725120.242933,friend,monthly,1.0,0.1,1.1,31301151.0,0.0,7531428.0,62194.8,0,under budget by 86.3pp
32,1786725120.242933,friend,5-hour,76.0,20.5,96.5,31301151.0,0.0,7531428.0,1.2,0,under budget by 1.8pp
33,1786726021.1450713,friend,monthly,1.0,0.1,1.1,32083775.0,0.0,7531428.0,62219.6,0,under budget by 86.3pp
34,1786726021.1450713,friend,5-hour,81.0,20.5,101.5,32083775.0,0.0,7531428.0,0.9,1,under budget by 1.8pp
35,1786726922.8034065,friend,monthly,1.0,0.1,1.1,32099349.0,0.0,7531428.0,62244.3,0,under budget by 86.3pp
36,1786726922.8034065,friend,5-hour,83.0,0.0,83.0,32099349.0,0.0,7531428.0,0.9,0,under budget by 1.2pp
37,1786727823.6178644,friend,monthly,1.0,0.1,1.1,26832441.0,0.0,6766873.0,62269.1,0,under budget by 86.4pp
38,1786727823.6178644,friend,5-hour,84.0,0.0,84.0,26832441.0,0.0,6766873.0,0.8,0,under budget by 5.2pp
39,1786728725.013715,friend,monthly,1.0,0.1,1.1,26909367.0,0.0,6766873.0,62293.9,0,under budget by 86.4pp
40,1786728725.013715,friend,5-hour,85.0,0.0,85.0,26909367.0,0.0,6766873.0,0.8,0,under budget by 9.2pp
41,1786729625.6470766,friend,monthly,1.0,0.1,1.1,26968352.0,0.0,6766873.0,62318.7,0,under budget by 86.4pp
42,1786729625.6470766,friend,5-hour,85.0,0.0,85.0,26968352.0,0.0,6766873.0,0.9,0,under budget by 14.2pp
43,1786730526.7102282,friend,monthly,1.0,0.1,1.1,26968352.0,0.0,6766873.0,62343.5,0,under budget by 86.5pp
44,1786730526.7102282,friend,5-hour,1.0,21.6,22.6,26968352.0,0.0,6766873.0,18.4,0,under budget by 2.7pp
45,1786731427.5893264,friend,monthly,1.0,0.1,1.1,26968352.0,0.0,6677552.0,62368.2,0,under budget by 86.5pp
46,1786731427.5893264,friend,5-hour,2.0,18.4,20.4,26968352.0,0.0,6677552.0,21.4,0,under budget by 6.7pp
47,1786732328.6907148,friend,monthly,1.0,0.1,1.1,23152151.0,0.0,6609063.0,62393.0,0,under budget by 86.5pp
48,1786732328.6907148,friend,5-hour,4.0,23.3,27.3,23152151.0,0.0,6609063.0,16.5,0,under budget by 9.7pp
49,1786733229.4555907,friend,monthly,1.0,0.1,1.1,23169731.0,0.0,6609063.0,62417.8,0,under budget by 86.6pp
50,1786733229.4555907,friend,5-hour,6.0,25.6,31.6,23169731.0,0.0,6609063.0,14.7,0,under budget by 12.7pp
51,1786734130.560522,friend,monthly,1.0,0.1,1.1,23169731.0,0.0,6609063.0,62442.6,0,under budget by 86.6pp
52,1786734130.560522,friend,5-hour,11.0,27.8,38.8,23169731.0,0.0,6609063.0,9.6,0,under budget by 12.7pp
53,1786735031.2397516,friend,monthly,1.0,0.1,1.1,23169731.0,0.0,6924115.0,62467.3,0,under budget by 86.6pp
54,1786735031.2397516,friend,5-hour,12.0,25.1,37.1,23169731.0,0.0,6924115.0,10.5,0,under budget by 16.7pp
55,1786735932.1685712,friend,monthly,1.0,0.1,1.1,20317330.0,0.0,6869808.0,62492.1,0,under budget by 86.7pp
56,1786735932.1685712,friend,5-hour,13.0,23.1,36.1,20317330.0,0.0,6869808.0,11.3,0,under budget by 20.7pp
57,1786736833.1065297,friend,monthly,1.0,0.1,1.1,20337187.0,0.0,6869808.0,62516.9,0,under budget by 86.7pp
58,1786736833.1065297,friend,5-hour,16.0,24.8,40.8,20337187.0,0.0,6869808.0,10.2,0,under budget by 22.7pp
59,1786737734.2042518,friend,monthly,1.0,0.1,1.1,20337187.0,0.0,6869808.0,62541.7,0,under budget by 86.7pp
60,1786737734.2042518,friend,5-hour,22.0,20.1,42.1,20337187.0,0.0,6869808.0,7.8,0,under budget by 21.8pp
61,1786738635.1412807,friend,monthly,1.0,0.1,1.1,20337187.0,0.0,6904578.0,62566.4,0,under budget by 86.8pp
62,1786738635.1412807,friend,5-hour,26.0,21.3,47.3,20337187.0,0.0,6904578.0,6.9,0,under budget by 22.8pp
63,1786739536.8613865,friend,monthly,1.0,0.1,1.1,18117280.0,0.0,6861825.0,62591.2,0,under budget by 86.8pp
64,1786739536.8613865,friend,5-hour,27.0,20.1,47.1,18117280.0,0.0,6861825.0,7.3,0,under budget by 26.8pp
65,1786740437.633478,friend,monthly,1.0,0.1,1.1,18127474.0,0.0,6861825.0,62616.0,0,under budget by 86.8pp
66,1786740437.633478,friend,5-hour,31.0,21.1,52.1,18127474.0,0.0,6861825.0,6.5,0,under budget by 27.8pp
67,1786741338.5090032,friend,monthly,1.0,0.1,1.1,18127474.0,0.0,6861825.0,62640.8,0,under budget by 86.9pp
68,1786741338.5090032,friend,5-hour,36.0,11.3,47.3,18127474.0,0.0,6861825.0,5.7,0,under budget by 27.8pp
69,1786742239.5426598,friend,monthly,1.0,0.1,1.1,18127474.0,0.0,6788364.0,62665.6,0,under budget by 86.9pp
70,1786742239.5426598,friend,5-hour,40.0,11.6,51.6,18127474.0,0.0,6788364.0,5.2,0,under budget by 28.8pp
71,1786743140.8560376,friend,monthly,1.0,0.1,1.1,16334102.0,0.0,6754337.0,62690.3,0,under budget by 86.9pp
72,1786743140.8560376,friend,5-hour,43.0,11.7,54.7,16334102.0,0.0,6754337.0,4.9,0,under budget by 30.8pp
