id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
1,1786542325.0615444,ollama_cloud,,0.0155,cold_start_fallback,0,0.0,0,0.0,0.0,
2,1786542326.0568397,ppq,,0.14,cold_start_fallback,0,0.0,0,0.0,0.0,
3,1786542326.090313,openrouter,deepseek-v4-flash,0.135,published_list,0,0.3,0,0.0,0.0,
4,1786542325.0604713,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
5,1786542325.0604713,friend,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6,1786542325.0604713,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
7,1786625835.3673465,ollama_cloud,glm-5.2,0.5374153354265768,ollama_billing_api,1,1.0,60009899,32.25024,0.0,
8,1786625835.3673465,ollama_cloud,kimi-k3,0.5850062516631555,ollama_billing_api,1,1.0,38308206,22.41054,0.0,
9,1786625835.3673465,ollama_cloud,kimi-k2.7-code,0.3039215720156389,ollama_billing_api,1,1.0,17361354,5.27649,0.0,
10,1786625835.3673465,ollama_cloud,deepseek-v4-flash,0.025570328798638853,ollama_billing_api,1,0.47172638,2453234,0.06273,0.0,
11,1786625835.3673465,ollama_cloud,,0.3756764971041822,ollama_billing_api,1,1.0,159711881,60.0,0.0,
12,1786625835.9748929,ppq,,0.14,cold_start_fallback,0,0.0,0,0.0,0.0,
13,1786625835.9777648,openrouter,deepseek-v4-flash,0.135,published_list,0,0.3,0,0.0,0.0,
14,1786625835.3625758,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
15,1786625835.3625758,friend,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
16,1786625835.3625758,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
17,1786625850.6068366,ollama_cloud,glm-5.2,0.5395620695874296,ollama_billing_api,1,1.0,59771140,32.25024,0.0,
18,1786625850.6068366,ollama_cloud,kimi-k3,0.5873430850902815,ollama_billing_api,1,1.0,38155791,22.41054,0.0,
19,1786625850.6068366,ollama_cloud,kimi-k2.7-code,0.3051356041618343,ollama_billing_api,1,1.0,17292279,5.27649,0.0,
20,1786625850.6068366,ollama_cloud,deepseek-v4-flash,0.025672464695756937,ollama_billing_api,1,0.47104318,2443474,0.06273,0.0,
21,1786625850.6068366,ollama_cloud,,0.37291775544407874,ollama_billing_api,1,1.0,160893385,60.0,0.0,
22,1786625851.279189,ppq,,0.14,cold_start_fallback,0,0.0,0,0.0,0.0,
23,1786625851.2875147,openrouter,deepseek-v4-flash,0.135,published_list,0,0.3,0,0.0,0.0,
24,1786625850.6036096,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
25,1786625850.6036096,friend,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
26,1786625850.6036096,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
27,1786625871.7102284,ollama_cloud,glm-5.2,0.5412816224860508,ollama_billing_api,1,1.0,59581258,32.25024,0.0,
28,1786625871.7102284,ollama_cloud,kimi-k3,0.5892149135771906,ollama_billing_api,1,1.0,38034577,22.41054,0.0,
29,1786625871.7102284,ollama_cloud,kimi-k2.7-code,0.3061080462217354,ollama_billing_api,1,1.0,17237345,5.27649,0.0,
30,1786625871.7102284,ollama_cloud,deepseek-v4-flash,0.02575428694126684,ollama_billing_api,1,0.47049977,2435711,0.06273,0.0,
31,1786625871.7102284,ollama_cloud,,0.3699286778125725,ollama_billing_api,1,1.0,162193427,60.0,0.0,
32,1786625872.319193,ppq,,0.14,cold_start_fallback,0,0.0,0,0.0,0.0,
33,1786625872.329031,openrouter,deepseek-v4-flash,0.135,published_list,0,0.3,0,0.0,0.0,
34,1786625871.7045634,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
35,1786625871.7045634,friend,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
