id,ts,provider,response_received,response_valid,latency_ms,error_type,billed_tokens,actual_tokens,token_mismatch,model
1,2026-08-14T12:32:10.269232+00:00,friend,1,1,9579,none,254,0,0,glm-5.3
2,2026-08-14T12:32:11.478260+00:00,friend,0,0,4,no_response,0,0,0,
3,2026-08-14T12:32:11.514781+00:00,friend,0,0,3,no_response,0,0,0,
4,2026-08-14T12:32:11.524127+00:00,friend,0,0,3,no_response,0,0,0,
5,2026-08-14T12:32:11.532619+00:00,friend,0,0,4,no_response,0,0,0,
6,2026-08-14T12:32:11.542095+00:00,friend,0,0,4,no_response,0,0,0,
7,2026-08-14T12:32:11.552162+00:00,friend,0,0,4,no_response,0,0,0,
8,2026-08-14T12:32:11.586489+00:00,friend,0,0,4,no_response,0,0,0,
9,2026-08-14T12:32:11.625350+00:00,friend,0,0,4,no_response,0,0,0,
10,2026-08-14T12:32:11.637406+00:00,friend,0,0,4,no_response,0,0,0,
11,2026-08-14T12:32:11.651146+00:00,friend,0,0,4,no_response,0,0,0,
12,2026-08-14T12:32:11.661296+00:00,friend,0,0,4,no_response,0,0,0,
13,2026-08-14T12:32:11.682363+00:00,friend,0,0,11,no_response,0,0,0,
14,2026-08-14T12:32:12.065831+00:00,friend,1,1,12693,none,484,18,1,glm-5.3
15,2026-08-14T12:32:16.395261+00:00,friend,1,1,14872,none,373,0,0,glm-5.3
16,2026-08-14T12:32:16.979819+00:00,friend,1,1,5135,none,102,0,0,glm-5.2
17,2026-08-14T12:32:18.910392+00:00,friend,1,1,4036,none,46,2,1,glm-5.3
18,2026-08-14T12:32:25.775179+00:00,friend,1,1,1581,none,8,8,0,glm-5.3
19,2026-08-14T12:32:27.305019+00:00,friend,1,1,7931,none,158,47,1,glm-5.2
20,2026-08-14T12:32:30.708454+00:00,friend,1,1,3863,none,90,0,0,glm-5.3
21,2026-08-14T12:32:35.165575+00:00,friend,1,1,4253,none,165,0,0,glm-5.3
22,2026-08-14T12:32:41.358630+00:00,friend,1,1,3612,none,8,7,0,glm-5.2
23,2026-08-14T12:32:41.535316+00:00,friend,1,1,27827,none,939,39,1,glm-5.3
24,2026-08-14T12:32:49.479856+00:00,friend,1,1,3881,none,166,0,0,glm-5.3
