id,ts,live_provider,live_model,shadow_provider,shadow_model,shadow_cost,live_cost,tokens,agree,reason,pace_mults
1,1786711993.6045609,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 1.0}"
2,1786712405.2650158,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
3,1786712410.6369512,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
4,1786712616.381248,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
5,1786713109.5495594,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 1.3792339079242628}"
6,1786713149.4208038,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 1.3792339079242628}"
7,1786713260.8479204,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 1.3792339079242628}"
8,1786713326.9198864,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 0.6360394602053586}"
9,1786713577.3560195,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 0.6360394602053586}"
10,1786713631.0174165,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 0.5}"
11,1786713689.582263,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 0.5}"
12,1786713813.981897,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 0.5}"
13,1786714070.0905457,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 1.8291031588547206}"
14,1786714103.310137,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 1.8291031588547206}"
15,1786714367.6483233,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 1.0}"
16,1786714465.6198773,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 1.0}"
17,1786714492.7456324,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
18,1786714762.1726573,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
19,1786714907.4838345,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
20,1786715170.8890905,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
21,1786715200.1562753,friend,glm-5.2,,,,,0,1,live_kalman_failover_friend,"{""friend"": 3.0}"
22,1786715242.2694383,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
23,1786715716.222208,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
24,1786715757.1812677,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
25,1786715852.5853748,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
26,1786715938.1252878,ollama_cloud,glm-5.2,friend,glm-5.2,,,0,1,live_kalman_failover_ollama_cloud,"{""friend"": 3.0}"
